Partner,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,MonthlyCharges,StreamingMovies,DeviceProtection,Contract,tenure,Dependents,Churn
False,False,No,Mailed check,False,20.4,False,False,Two year,11,False,False
True,False,DSL,Bank transfer (automatic),True,68.05,False,True,Two year,61,True,False
True,True,Fiber optic,Credit card (automatic),False,71.55,False,False,Month-to-month,34,False,False
True,False,No,Mailed check,False,24.05,False,False,Two year,70,True,False
False,False,No,Electronic check,True,20.0,False,False,Month-to-month,19,True,False
False,False,DSL,Credit card (automatic),True,79.75,True,False,Two year,52,False,False
False,False,Fiber optic,Mailed check,True,85.3,False,False,Month-to-month,5,False,False
True,True,DSL,Bank transfer (automatic),True,60.65,False,True,One year,68,False,False
False,False,DSL,Electronic check,False,60.85,True,True,Month-to-month,2,False,False
False,False,No,Credit card (automatic),False,20.35,False,False,One year,32,False,False
False,False,DSL,Electronic check,False,56.15,False,True,Month-to-month,5,False,False
True,False,No,Electronic check,False,25.4,False,False,Month-to-month,47,False,False
True,True,Fiber optic,Electronic check,True,100.65,True,False,One year,50,False,False
False,False,Fiber optic,Electronic check,False,90.4,True,True,Month-to-month,3,False,False
True,False,DSL,Credit card (automatic),False,60.8,True,True,Two year,60,False,False
False,False,Fiber optic,Electronic check,True,111.5,True,True,Month-to-month,44,False,False
True,False,Fiber optic,Credit card (automatic),True,95.15,False,True,One year,71,True,False
True,False,DSL,Bank transfer (automatic),True,75.2,True,False,Two year,51,False,False
True,False,Fiber optic,Electronic check,True,80.9,True,False,One year,56,False,False
False,False,Fiber optic,Electronic check,True,80.45,False,True,Month-to-month,2,False,False
True,False,DSL,Mailed check,True,50.0,False,True,Month-to-month,30,False,False
True,False,DSL,Mailed check,True,61.05,False,False,Two year,33,False,False
True,False,Fiber optic,Credit card (automatic),False,114.75,True,True,Two year,70,True,False
False,False,DSL,Credit card (automatic),True,44.85,True,False,Month-to-month,56,False,False
False,False,DSL,Electronic check,True,55.3,False,False,Month-to-month,47,True,False
True,False,No,Mailed check,True,24.45,False,False,Two year,56,True,False
False,False,DSL,Credit card (automatic),True,76.9,True,True,One year,68,False,False
True,False,DSL,Bank transfer (automatic),True,72.95,True,True,Two year,68,True,False
False,False,No,Mailed check,False,19.95,False,False,Month-to-month,3,True,False
True,False,DSL,Bank transfer (automatic),False,74.4,True,False,One year,24,False,False
True,False,DSL,Credit card (automatic),True,76.15,True,False,Two year,8,True,False
True,False,No,Mailed check,False,20.55,False,False,Two year,60,True,False
False,False,Fiber optic,Electronic check,False,91.0,True,True,Month-to-month,28,False,False
False,False,DSL,Electronic check,False,44.15,True,True,One year,43,False,False
True,False,DSL,Mailed check,True,81.3,True,True,Two year,64,False,False
True,False,No,Mailed check,False,20.5,False,False,Two year,16,True,False
False,False,No,Credit card (automatic),False,20.0,False,False,Two year,13,False,False
True,False,Fiber optic,Mailed check,True,84.05,False,True,Month-to-month,34,True,False
True,False,DSL,Electronic check,True,64.7,True,True,Two year,72,False,False
False,False,Fiber optic,Electronic check,False,86.75,False,True,One year,17,False,False
False,True,DSL,Electronic check,False,45.2,False,False,Month-to-month,1,False,False
False,True,DSL,Bank transfer (automatic),False,45.25,False,False,Month-to-month,1,False,False
False,False,DSL,Mailed check,False,48.8,False,False,Month-to-month,19,True,False
True,False,Fiber optic,Electronic check,False,79.4,False,False,Month-to-month,55,True,False
True,False,DSL,Bank transfer (automatic),False,91.7,True,True,Two year,66,False,False
True,False,No,Bank transfer (automatic),False,20.45,False,False,One year,49,False,False
True,False,Fiber optic,Bank transfer (automatic),True,83.65,False,False,One year,68,True,False
False,False,No,Bank transfer (automatic),True,20.7,False,False,Month-to-month,2,False,False
False,False,Fiber optic,Electronic check,False,76.1,False,False,Month-to-month,3,False,False
False,False,Fiber optic,Credit card (automatic),True,95.1,True,False,Month-to-month,10,False,False
True,False,No,Bank transfer (automatic),True,19.7,False,False,Two year,64,True,False
True,False,Fiber optic,Bank transfer (automatic),True,108.65,True,True,Two year,72,True,False
False,False,DSL,Electronic check,True,69.65,True,False,Month-to-month,14,False,False
True,False,Fiber optic,Electronic check,True,94.75,True,True,Month-to-month,8,True,False
True,False,DSL,Credit card (automatic),True,85.9,True,True,Two year,72,True,False
True,False,Fiber optic,Credit card (automatic),True,95.65,True,False,Month-to-month,52,False,False
False,False,No,Mailed check,False,20.25,False,False,Two year,8,False,False
True,False,Fiber optic,Credit card (automatic),False,115.8,True,True,Two year,72,False,False
False,False,DSL,Mailed check,False,49.85,True,True,Two year,12,False,False
True,True,Fiber optic,Credit card (automatic),False,94.0,True,True,Month-to-month,57,False,False
True,False,No,Mailed check,False,20.3,False,False,Month-to-month,2,True,False
