Partner,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,MonthlyCharges,StreamingMovies,DeviceProtection,Contract,tenure,Dependents,Churn
True,False,DSL,Mailed check,False,58.85,True,True,Month-to-month,7,True,False
False,False,DSL,Electronic check,True,74.4,True,True,Month-to-month,4,False,True
False,False,DSL,Bank transfer (automatic),True,30.85,False,False,Month-to-month,13,False,False
True,True,Fiber optic,Credit card (automatic),True,104.4,True,True,One year,61,False,True
False,False,No,Mailed check,False,20.5,False,False,Two year,32,True,False
False,False,DSL,Mailed check,False,70.7,True,False,Month-to-month,3,True,False
False,True,Fiber optic,Electronic check,True,96.2,True,False,Month-to-month,49,False,True
False,False,DSL,Electronic check,True,34.7,True,False,Month-to-month,2,False,True
False,False,No,Bank transfer (automatic),True,19.25,False,False,One year,36,False,False
True,True,Fiber optic,Mailed check,False,77.9,False,False,Month-to-month,30,False,False
False,False,Fiber optic,Electronic check,True,84.45,False,False,Month-to-month,12,False,True
False,False,Fiber optic,Credit card (automatic),True,100.85,True,False,Month-to-month,45,False,True
True,False,Fiber optic,Electronic check,True,99.15,True,True,Two year,72,False,False
False,True,Fiber optic,Electronic check,True,101.1,True,True,Month-to-month,37,False,True
False,False,DSL,Electronic check,True,49.9,False,False,Month-to-month,1,False,False
True,False,DSL,Bank transfer (automatic),True,80.85,False,True,Two year,72,True,False
True,False,DSL,Mailed check,True,73.9,True,True,One year,33,True,True
False,False,DSL,Credit card (automatic),False,35.8,False,False,Two year,37,False,False
True,True,Fiber optic,Electronic check,True,94.25,True,True,Month-to-month,34,False,True
False,True,DSL,Electronic check,True,34.7,True,False,Month-to-month,10,False,True
False,False,Fiber optic,Electronic check,True,91.4,False,True,Month-to-month,2,False,True
False,False,Fiber optic,Credit card (automatic),True,95.6,True,True,Month-to-month,16,False,True
True,False,DSL,Bank transfer (automatic),False,92.0,True,True,Two year,72,False,False
False,False,Fiber optic,Bank transfer (automatic),False,78.1,True,False,Month-to-month,12,False,True
False,False,DSL,Credit card (automatic),False,65.6,False,True,One year,15,True,False
True,False,No,Mailed check,False,20.25,False,False,Month-to-month,7,True,False
False,False,No,Mailed check,False,19.75,False,False,Two year,16,False,False
